Index,Age,SES,PA,Protein,Sodium,Fat,Energy,BMI,Gender,Year,Age1,Age2,Age3
42,54,2.19067868080238,400,198.326710641299,4.5080059285074,272.512074477132,6568.14370311462,29.5837806444424,1,2016,54,2916,157464
43,68,-1.14834639429827,1525.09909228626,53.117838495783,2.13925512892053,71.5235066439239,2405.075319837,34.0747695837469,1,2016,68,4624,314432
44,20,-0.526843130775804,9822.01380047455,179.342973705129,3.58663532585571,176.843132644793,4839.90708366972,20.9073276920292,1,2017,20,400,8000
45,71,-1.09312793855583,2539.49375256253,144.68068976593,4.83872786106503,238.706165803834,4288.49290488512,24.2561684493577,1,2017,71,5041,357911
46,26,-0.363408809116593,9007.9536629132,140.852103989862,4.14901004796158,201.756597094619,4481.5271510849,23.6289507695424,1,2016,26,676,17576
47,42,0.693713780637033,3834.5485389009,192.067113812564,2.93280418625084,215.088758991607,5345.10028770727,22.2961867856623,1,2017,42,1764,74088
48,42,0.446332215609702,1600.58016432942,102.686398379896,4.72679235079396,252.213176720683,4582.5590478793,34.1254157584841,1,2017,42,1764,74088
49,63,-0.185079768117509,1064.799190206,166.900277054122,1.86858846788689,216.865422153625,4575.66281198118,20.9551864114494,1,2017,63,3969,250047
50,70,0.266204816253512,1867.68003080871,81.4866321329869,1.87299865463952,130.033913557837,2461.30051182991,25.2368412769169,1,2016,70,4900,343000
51,85,-1.93844607042518,400,115.952366965717,2.80265651136246,152.76397452419,2917.61942123942,27.6788060323616,1,2016,85,7225,614125
52,59,0.866267294235444,2141.13550229251,94.8589463987885,2.46134597193528,137.959831057944,2505.73045694476,20.4599808189603,1,2016,59,3481,205379
53,63,0.0791890628081977,1958.92079370294,157.138621051711,4.56225137385817,231.929258879881,5112.98841217569,28.5325174246659,1,2016,63,3969,250047
54,67,1.28195502937079,400,110.192910899483,2.94251746947539,132.961507781506,3384.73944154305,29.0279807398664,1,2016,67,4489,300763
55,26,0.747473512961308,8508.21615852107,235.012429342474,7.20122600960352,381.665973499927,7802.54788580301,26.4372954076891,1,2017,26,676,17576
56,46,0.882780649497067,880.836285676264,194.306748573651,3.80577850791391,254.450180472394,6951.98913568767,31.6493230992817,1,2017,46,2116,97336
57,33,0.972990907499389,3075.53248468854,223.52898427677,9.63005273545322,332.102633649975,6697.46827994435,23.8827224077886,1,2016,33,1089,35937
58,40,-0.00103170771845937,3400.92982117555,326.271148274485,10.6416274201104,385.524322653699,7906.41651647293,25.984682861576,1,2016,40,1600,64000
59,52,0.807939046785309,481.340943897171,141.720730191448,5.46898619698328,187.176328542698,5013.09970332617,29.9873134275017,1,2016,52,2704,140608
60,33,0.998870023486648,3726.85337528848,69.1566612984739,2.46745275894258,108.870409575178,2088.51229804136,20.6355811895945,1,2017,33,1089,35937
61,68,0.494489088952686,400,102.382848437048,3.17201786842965,119.235078435582,2962.02945234937,31.8102559720399,1,2017,68,4624,314432
62,52,-1.4804464200973,448.969273732525,105.7289720272,3.5281159270858,151.490560127933,3990.58139061495,25.6417750789422,1,2016,52,2704,140608
63,38,-0.821637429209046,400,125.746387468868,7.09255725668125,219.53562388916,5918.60243290381,34.5558403246532,1,2016,38,1444,54872
64,51,0.699587867809025,5108.04781972404,114.387016982223,3.24589757089463,137.103252002984,4023.04836819837,26.9510506293989,1,2017,51,2601,132651
65,46,-0.14959417753149,3435.05706648137,60.9612049817232,2.31311319039485,136.742614049692,3363.17249299362,28.1234659744269,1,2017,46,2116,97336
66,42,0.250589992008506,1727.66752204749,146.751974621453,3.78484622512246,219.2599658977,5375.55932859387,30.5044104803923,1,2017,42,1764,74088
67,40,0.800695638299422,1275.59467174899,89.8491741484736,2.24225042706427,131.378425606655,3895.67223713308,34.9419135858999,1,2016,40,1600,64000
68,33,0.00334333801655889,522.29557607729,192.303084901948,4.29809973836291,548.731436341556,8556.46884607005,29.1235542008871,1,2016,33,1089,35937
69,75,2.91995758806015,400,94.2878319796931,1.33039472615052,188.572552379269,2613.84378108383,29.4026560833097,1,2016,75,5625,421875
70,61,0.0379087948859699,1985.79208781791,151.106067962652,4.27009401419863,221.998244861741,4391.76282282219,26.2318513479395,1,2016,61,3721,226981
71,36,-1.0486790057784,572.020524503436,106.266717697287,4.18084497448756,152.35882881349,4231.95197027296,34.0931398883128,1,2016,36,1296,46656
72,65,0.581696914333277,1374.33589964214,61.7609618668196,2.00300954399115,44.781278371634,1919.91714569159,23.9215073398699,1,2017,65,4225,274625
73,42,-0.539143904199658,3692.08241358506,148.294863459569,5.19306880688168,195.364683754597,6018.5742547227,30.5069575135272,1,2016,42,1764,74088
74,82,-0.176334689883955,400,111.198330209419,3.63012412558107,162.459582165702,4469.45804746903,34.6374800134565,1,2016,82,6724,551368
75,39,-0.34275138426134,2816.69585466036,142.61460272201,5.0918994757317,237.167354998693,5583.5185519446,32.1237796994762,1,2017,39,1521,59319
76,44,-1.98949019644717,719.21427208638,165.013855009485,7.18007329478297,238.458139959163,5305.50052374073,26.8492523005194,1,2016,44,1936,85184
77,69,0.499880834189391,1534.97075363096,94.8634798410259,4.71683742207177,190.669085387926,3381.93958648649,22.0475361326021,1,2017,69,4761,328509
78,37,0.0954355895050185,1309.21813601413,146.24168811594,3.77984369664795,145.292246871653,3633.86347805356,26.3656902446935,1,2017,37,1369,50653
79,83,0.809456322251102,400,168.698063556422,3.94306851903536,221.020839796074,5038.11799404051,27.2716674375122,1,2017,83,6889,571787
80,42,-0.22069898517739,2644.26955252539,131.868253070296,6.47640623218534,132.578197417509,3829.72673745629,25.3592202735893,1,2016,42,1764,74088
81,41,-0.476431677792197,3445.22058654891,74.488954253498,0.816202984392291,89.1601813132215,2437.46863731386,26.7822108114901,1,2017,41,1681,68921
82,57,0.495596079865915,436.012235857067,70.5937472860323,3.03440369913326,162.859985347366,2810.1752352948,24.4771548646684,1,2017,57,3249,185193
83,62,-1.40765140528796,561.926800864394,190.925839331267,3.43097580171199,212.740891387751,5292.37436781029,29.4350134378955,1,2017,62,3844,238328
84,64,-0.643728589636531,1956.14812722436,62.5864833488072,2.80265651136246,151.702983271285,3192.94736093039,25.7560332681348,1,2017,64,4096,262144
85,45,-1.12823386875037,2797.44565948127,160.971478678248,6.0064287907957,234.109778447614,3854.82147020918,18.3811214186224,1,2017,45,2025,91125
86,84,-1.0438650810357,400,84.344653509714,1.93562004169979,165.048804800989,3568.74017375396,29.3437755736482,1,2016,84,7056,592704
87,63,0.832211806659269,1247.81748694611,126.725730646966,4.08876388023341,165.538333575164,4103.33324692305,27.2138185180155,1,2016,63,3969,250047
88,23,-1.21529688712521,9877.49734283713,124.019001670809,3.99443647334846,163.820764954338,4685.59063978845,26.1894535450309,1,2017,23,529,12167
89,45,-1.39168360412,2716.06249403292,101.626222905884,3.06146698404682,132.820015127807,3517.74875124702,27.2718696991165,1,2017,45,2025,91125
90,43,0.120077646440612,3060.14641331725,209.752939210974,3.32663311969702,258.388158999794,4953.61353317823,20.9900369055483,1,2016,43,1849,79507
91,23,0.00293656764954462,9143.2984818523,116.113409119248,4.27870547030083,237.264957179665,4886.10740286679,22.6776636335408,1,2016,23,529,12167
92,48,1.46080023997266,762.025587316677,62.5042221274502,3.3624668757998,119.235078435582,2461.30051182991,23.0071060808134,1,2017,48,2304,110592
93,61,-0.271208167023404,400,129.23995958047,4.87680235127639,149.844214427896,4027.65039547319,28.8484818006517,1,2017,61,3721,226981
94,66,0.498825934536995,400,94.4782119154028,4.66760904913775,155.181265922902,3764.96970650164,27.1693839266745,1,2016,66,4356,287496
95,65,1.08504877463322,1013.379747381,109.571557811753,2.19806455457417,139.606160486619,3515.41085965923,27.9576698529883,1,2017,65,4225,274625
96,20,0.521841184590407,9206.3234465883,207.154306485526,7.18744650446735,271.948562570447,7184.46668524051,31.6590670436121,1,2016,20,400,8000
97,93,-0.156451900486114,400,94.0173032353848,2.19806455457417,151.752031570698,2223.46442437599,27.1363251057436,1,2017,93,8649,804357
98,47,0.722965627703874,1095.24906387042,104.252254382191,3.65960249641851,163.854276702855,4353.76699123283,29.2504984526528,1,2016,47,2209,103823
99,54,-0.0697040176996243,767.693191954987,94.9516936078412,1.26968723686069,111.903063168918,3097.18682854248,29.9012887134472,1,2017,54,2916,157464
100,25,-0.820608563159405,8037.20405552973,149.423434465527,4.76665003037373,292.714049425355,6231.71368332624,28.496433475937,1,2016,25,625,15625
101,68,0.151811311162759,1470.48564994728,177.085926838596,7.81354515199238,448.838186109349,7604.46887664289,28.226088010129,1,2017,68,4624,314432
102,30,1.13465043897351,8365.38953054594,147.588331294254,4.84143238663676,221.020839796074,4159.85462902697,22.4839019201108,1,2016,30,900,27000
103,70,-0.825254889858997,400,162.699861142603,4.18721732021862,236.647488610454,4975.16270440038,29.4170249808495,1,2016,70,4900,343000
104,50,-0.934160367869225,851.171393065913,45.4738198453314,1.06254314036053,116.364330842872,2481.71108987099,36.1973196492534,1,2016,50,2500,125000
105,78,0.37178093480809,400,129.869718119915,3.10842759899934,132.988106419468,3207.35284267116,31.8679283594573,1,2016,78,6084,474552
106,33,-1.22316715836871,3028.64652665713,90.9163862952125,2.21528813157314,106.486060903345,3190.84852841543,32.0692979837708,1,2017,33,1089,35937
107,44,-0.59077427831766,3363.96909978994,122.935523216514,4.36799542044549,173.089572181843,4680.47626859965,32.7052816037832,1,2016,44,1936,85184
108,24,1.14226847313731,7174.32828325679,129.824071888271,3.0024508334087,159.052252382841,3484.43486284051,25.5065618044582,1,2016,24,576,13824
109,32,-1.96972070948728,3259.89772261544,134.78943573785,3.75632548821806,136.925714771445,4027.65039547319,31.2465260736779,1,2016,32,1024,32768
110,40,1.36513107278981,1449.88439773417,88.1552164300585,4.81940529753156,193.344047477836,4469.45804746903,25.3224021376006,1,2017,40,1600,64000
111,84,0.289370646699756,400,188.26965051583,3.85171651945942,317.03943324542,6931.09149878378,39.1929182015773,1,2017,84,7056,592704
112,30,-0.479037936448616,3783.02948485021,207.613278180822,5.09857486826335,315.648271018981,6821.48489951315,34.2862795015567,1,2016,30,900,27000
113,20,-0.306626192400494,9448.29520858766,170.205245680739,4.23351641535547,344.077299212183,7144.91572741113,27.9414297604237,1,2016,20,400,8000
114,27,-1.60471592044624,4020.90852076101,127.388789181398,3.04091899332155,181.823787712208,4192.2925682108,27.0420883510059,1,2017,27,729,19683
115,70,1.09007968052404,400,99.5360040331762,3.46849411290727,181.25014732353,2847.69106174624,25.802147644522,1,2016,70,4900,343000
116,43,0.287475710443201,3244.56748066468,87.3176727004365,2.01101321574197,95.4433458867685,2088.51229804136,26.5187281634426,1,2017,43,1849,79507
117,78,-0.349851603326298,400,113.839055805094,2.54766994670315,183.011730102786,3747.31349684611,28.5311467174939,1,2017,78,6084,474552
118,80,-0.195693364627188,400,104.049616693612,1.51911369698782,152.381290965136,3419.46470199671,29.4652431857883,1,2017,80,6400,512000
119,49,1.08951504805423,400,198.421179670652,5.00447343265671,219.69474894829,5783.72453194612,28.2991249570325,1,2017,49,2401,117649
120,35,0.279991054098722,3728.75351235118,191.760188412111,6.18766210279019,241.46389884245,5782.2070289458,24.7085933259561,1,2017,35,1225,42875
121,26,-0.125916433398807,8935.3183345214,169.957067864807,4.3455194350851,211.291505612113,3643.79424483504,20.4917179049198,1,2016,26,676,17576
122,21,-0.481129963050787,9028.0512598189,175.595797066831,6.79635066779057,259.414792343379,6651.39309323959,26.8289996703139,1,2016,21,441,9261
123,28,0.746569875568883,2381.26501438772,124.874660755491,4.77174360859166,299.36272153204,5849.58130918372,33.9302448006809,1,2016,28,784,21952
124,52,-0.800749889063671,7995.01796872965,77.3327477075558,2.81200759172619,104.60634573823,2726.55436704657,22.7946010414964,1,2017,52,2704,140608
125,55,-0.130513384804134,3582.3676727636,238.414499093551,4.56437567921338,305.125160895041,5397.04700103379,18.8958347923014,1,2016,55,3025,166375
126,20,-1.35664407433783,9475.05282802598,210.303289397136,9.1932817309529,397.228283595216,8180.1513156781,22.9824365518758,1,2016,20,400,8000
127,54,-0.144754705064804,3838.79040857186,109.876194051899,3.00340518087291,271.948562570447,4138.65987774902,23.6549915059376,1,2016,54,2916,157464
128,67,0.63273280365967,400,90.252867896923,3.56350485324332,177.358711722324,4920.04774466533,35.3375469345661,1,2016,67,4489,300763
129,94,0.21367922258369,400,114.149633305777,2.33202977207449,112.713863547649,2927.32520653156,23.8115351901094,1,2016,94,8836,830584
130,62,1.4790974592958,400,126.07008835247,3.91143670377621,172.063649474367,4738.42709383679,34.5342450733691,1,2017,62,3844,238328
131,22,-1.2573839512865,7565.90647170695,119.336179883051,4.99746267716377,162.940281245732,3674.00438890108,26.1737917881013,1,2016,22,484,10648
132,62,-0.455225702904927,831.435370637037,85.6942882352646,2.44002162763935,76.4745403900231,2340.20385544392,30.0218349022788,1,2017,62,3844,238328
133,44,-0.669131612399423,853.410079882443,366.309773318727,7.96683038719043,464.280128319345,9779.68097712776,32.8897742189582,1,2016,44,1936,85184
134,24,0.968814147710709,3838.58735012001,134.400220332946,5.12127847328764,192.915801491474,3912.37059956091,22.4273020558019,1,2017,24,576,13824
135,71,-0.854359380992842,467.190158299994,216.226717390299,6.45029990089484,281.739971153843,5751.83537239357,29.3810779330288,1,2017,71,5041,357911
136,41,-0.351638963172288,1016.20943319522,156.51226697277,3.70385105077789,156.43474673596,4313.19236923276,28.4205222394771,1,2016,41,1681,68921
137,82,-0.65270797370644,400,189.773681777042,6.24122500668446,215.839882454079,5387.00647385962,29.4762251705917,1,2017,82,6724,551368
138,68,-0.110832267727339,400,118.904612670346,2.909270254568,218.894146506622,4229.30764052002,26.612308059199,1,2017,68,4624,314432
139,35,-0.180758587318679,3535.02227161251,80.881745759343,1.45042404476951,65.6732655252976,2410.87205687329,26.6247004939659,1,2016,35,1225,42875
140,25,-0.363382294502361,8979.14747934576,138.716626268799,5.12127847328764,228.343393921063,5703.92654190323,27.8308734297858,1,2016,25,625,15625
141,50,0.608548332697491,888.272919217993,86.800891773018,2.53895618840765,183.141607216107,4219.81699274113,32.0188731545244,1,2016,50,2500,125000
142,41,-0.166042536074567,948.550200414538,165.4605564868,4.11182007839597,200.03902727097,4352.41837968687,25.0525122996098,1,2016,41,1681,68921
143,55,0.549179315359414,1013.39769276565,107.742803847937,1.78086056942178,122.424617066665,2602.17436451263,21.9792320662388,1,2017,55,3025,166375
144,27,0.842888385074872,1626.31241396784,116.251490815428,2.968370399965,128.797518043294,4016.32259572213,29.4568852284392,1,2016,27,729,19683
145,54,0.529511079704321,491.722260829111,237.402894195476,5.85008016640288,299.45655498839,6458.28353020534,22.378899510914,1,2017,54,2916,157464
146,38,-1.00579842088484,8350.14579211846,137.806386920772,6.74986114719502,246.884576258827,6376.38554798401,30.7878417978193,1,2016,38,1444,54872
147,28,0.0462515803259989,6575.64365706674,116.823328066766,5.14886788283053,179.230125564425,3343.89486134887,20.984991996006,1,2017,28,784,21952
148,94,1.45749669799046,400,110.124135239438,2.57658433951645,142.044896023291,3952.00173043817,29.3633799397325,1,2017,94,8836,830584
149,58,1.66346647339837,400,130.411758956261,4.68128291207388,119.01041769266,3910.23725773379,28.1507487303628,1,2017,58,3364,195112
150,49,0.666304181821974,1391.79371560909,175.834011140807,6.45313300009726,258.609180741401,4886.10740286679,25.0114511305753,1,2017,49,2401,117649
151,23,-1.89291013613522,8901.15751560906,170.985060724078,9.73499622403273,271.700712504181,5153.78355967287,24.6482936967124,1,2017,23,529,12167
152,79,0.362655028109391,400,134.873669653327,2.53412675270423,205.530846941202,4551.65666775642,33.0788706909756,1,2016,79,6241,493039
153,59,1.56116301788891,779.050672869079,91.2197102487858,1.39382835017891,120.855825482634,2049.81550543084,20.491023013663,1,2016,59,3481,205379
154,51,1.64145159892838,1801.83687513898,161.184653212061,5.56400995011191,250.614166051016,5593.56635424136,28.9396367604769,1,2016,51,2601,132651
155,47,-0.699862811245322,400,122.355410759817,2.85975883526546,75.2061242046337,4145.97199415479,39.4296988499156,1,2017,47,2209,103823
156,41,-0.665974835090159,4434.54507424908,193.550897433387,9.39227605678903,332.958052106515,5430.4251874469,20.1080119094881,1,2016,41,1681,68921
157,28,-0.850395589926054,6015.90142279846,96.3175159709952,2.14958424043239,145.414697468718,3567.18800414014,24.1110080002197,1,2017,28,784,21952
158,68,0.0645642502528613,573.940533826294,102.132479845607,3.38481699472921,223.483713711753,3643.50291863884,25.468456934656,1,2016,68,4624,314432
159,34,-0.449375679318845,8206.6073199417,144.68068976593,4.02968278538128,308.449252631727,5477.26024153318,33.1499243860392,1,2016,34,1156,39304
160,32,-2.13824816948449,2746.80265319295,122.710019971643,2.77252967795645,180.404150444676,3921.62840724673,25.8637113780775,1,2016,32,1024,32768
161,46,0.0530707906777252,1826.24076231257,132.6795905145,4.55026413433315,178.519845053346,4362.96399983034,25.6620075465508,1,2017,46,2116,97336
162,28,-1.00620547221971,9206.95347866563,150.096545450652,3.95827864812439,150.009499776233,3792.10947481078,20.6107207090308,1,2017,28,784,21952
163,22,-0.108365979281339,8965.024263827,117.393340448513,4.87329384454508,179.185964452183,4808.70483223864,28.4269930668198,1,2017,22,484,10648
164,44,1.06240083047269,1393.12173427722,125.380141415522,2.38644719623395,163.343490215747,3595.17978837099,22.7368642341946,1,2017,44,1936,85184
165,67,-0.881194300224977,400,198.33845778067,7.44670701150699,265.877931322387,6109.55373800847,34.5796982697748,1,2016,67,4489,300763
166,23,0.23359215384963,8045.81724200482,128.748915295711,3.95029194470838,186.431096288593,4023.80354008802,23.1244076140024,1,2016,23,529,12167
167,65,-0.715795080647659,400,190.119496065059,6.91755677827075,311.168219955036,7826.36027498379,42.7889311252163,1,2016,65,4225,274625
168,43,1.38367440359265,1045.6978360667,166.470671012192,3.94634318440361,172.509176429437,4027.03226332013,24.3983183582805,1,2016,43,1849,79507
169,45,2.23342395417069,2484.24351516907,161.827208245464,3.96305224989424,232.909707583377,5240.8584442618,29.4101584845316,1,2016,45,2025,91125
170,47,2.04644651859526,400,253.135734162962,8.15493177331484,328.861219489557,11082.9675727385,38.5015399186733,1,2016,47,2209,103823
171,72,-1.23774179350033,485.80242107515,70.5937472860323,3.18483279104855,118.808315781375,3115.92280534614,27.3636472899136,1,2016,72,5184,373248
172,24,-0.071769119351648,9910.16926752719,142.328638491205,5.11698268374398,207.172783533002,4111.96867854964,18.9886660146269,1,2016,24,576,13824
173,36,-1.83052778670201,6175.57794550865,155.537894032329,5.53068668887046,255.132846787219,4549.50928146501,23.2848341961755,1,2016,36,1296,46656
174,69,-1.37502964704506,1041.87606836636,138.081866997767,4.92989874367003,201.968937957179,4522.08950465657,25.2135600811034,1,2017,69,4761,328509
175,23,0.429919179130563,3133.58689311866,199.848807627714,5.91396207244872,303.160974752709,7024.72195038184,25.4306023636161,1,2017,23,529,12167
176,43,1.02390416147078,3681.40189602506,142.760292155471,4.22009587601346,218.655313695662,4794.6422798596,24.5844168098375,1,2016,43,1849,79507
177,21,-0.57885906311172,9921.63314369967,161.824643393924,4.83872786106503,188.809448340625,3930.44666912711,20.7417028326831,1,2017,21,441,9261
178,41,-0.200854546267019,3688.15689628902,79.12980683866,4.59587078684366,162.322878526982,3424.13059779597,26.235470552857,1,2016,41,1681,68921
179,42,-0.651541874375402,2267.30107068016,115.901930781117,2.78269929874046,153.424394535116,2163.4515142632,10.5544693405302,1,2016,42,1764,74088
180,39,0.0221456798991448,3901.91804406946,157.222821993996,4.75263649795256,233.022930658348,4685.59063978845,28.7233065052807,1,2016,39,1521,59319
181,42,-1.03184687799714,2804.04558411485,121.146754531691,4.13131902548211,231.410297412412,4820.25759204535,28.6349928642553,1,2017,42,1764,74088
182,40,0.483020809008272,733.97224935697,238.414499093551,5.73891087150908,301.980773709622,6445.96416359487,27.6768346068367,1,2016,40,1600,64000
183,25,0.16800047258561,8961.16134499548,147.299972919904,4.24976543774647,180.470580552473,6386.3541172189,36.4517211060311,1,2016,25,625,15625
184,30,0.154271458684449,8285.33732950316,65.686138962482,1.15859984220563,89.0817351189387,3012.26421367834,30.423287203306,1,2016,30,900,27000
185,72,2.13008201921195,400,83.1310911440465,2.03866488156976,128.295202722163,2726.55436704657,24.6780837476299,1,2017,72,5184,373248
186,48,-0.243121622961876,3197.66234681168,223.552950423235,4.88311746146805,337.141054785237,6759.16736954561,29.7656404989627,1,2016,48,2304,110592
187,47,1.41117517085289,400,102.140831317227,2.42262393344928,214.409034049509,3816.38597632087,25.9217020048122,1,2016,47,2209,103823
188,24,-0.241725029481473,9589.86156433683,91.3383595019742,1.86854472589444,96.9640656045367,3114.78820566705,29.3001502296071,1,2016,24,576,13824
189,48,-1.13045783395849,9349.02224601106,198.492183434456,5.34949660269454,201.756597094619,5075.99942971713,25.2952450926608,1,2017,48,2304,110592
190,57,1.0095017831443,400,343.805517806012,11.6355496431787,544.556519420462,11918.4264847854,34.2644399039331,1,2017,57,3249,185193
191,59,-0.955795648490211,2588.62957749257,73.6698384877845,1.33540608324735,109.942307598275,2190.1089909242,24.2381287397666,1,2016,59,3481,205379
192,57,0.365880246834389,960.23287613895,141.720730191448,6.65490450944661,308.385636189087,7171.25347433693,35.7270408899309,1,2016,57,3249,185193
193,91,-0.320924560237367,400,131.702343838504,5.01620220502327,232.909707583377,4290.66901868901,21.0966324114903,1,2016,91,8281,753571
194,49,1.37520581563019,599.535757930064,200.066111067051,5.47326023045655,270.423801195137,5661.71876018101,26.3935286584649,1,2016,49,2401,117649
195,23,0.241779345836756,3334.93075199966,150.11172712516,3.66031885106853,166.611969145739,3910.23725773379,26.6123035100017,1,2017,23,529,12167
196,25,-0.752426356210215,8556.80260244079,202.882599133837,3.99443647334846,221.998244861741,4480.19527754771,20.7952321301446,1,2016,25,625,15625
197,32,-1.02879670282782,3376.27996825078,192.837948170898,6.27994320282999,263.520011234916,5122.48358779834,24.845351673357,1,2016,32,1024,32768
198,35,-0.571184648220685,3902.51961488963,141.705697907925,5.72591828333647,282.200205362985,5387.00647385962,27.4861529673558,1,2017,35,1225,42875
